GS,VARIABLE,TYPE,TEST.AV.SUIT,TEST.SD.SUIT,TEST.MAX.SUIT,TEST.MIN.SUIT,TEST.OMISSION.RATE,TEST.ERROR,TEST.MXE,TEST.SLOPE,TRAIN.AV.SUIT,TRAIN.SD.SUIT,TRAIN.MAX.SUIT,TRAIN.MIN.SUIT,TRAIN.OMISSION.RATE,TRAIN.ERROR,TRAIN.MXE,TRAIN.SLOPE
1,tmax,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmax,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmax,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmax,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmax,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmax,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmax,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmax,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmax,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmax,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmax,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmax,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
MEAN,tmax,_psuitability,4.405721717,13.54147828,91,0,0.836150845,0.965473936,NA,NA,4.337908497,13.01803766,100,0,0.838235294,0.965435118,0.638514626,0.006273058
MODE,tmax,_psuitability,15.99869961,19.35351627,95,0,0.322496749,0.861991299,NA,NA,16.28202614,19.07564484,100,0,0.312091503,0.858630331,0.999758397,0.009921985
MAX,tmax,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
MIN,tmax,_psuitability,0,0,0,0,1,1,NA,NA,0.010457516,0.408981129,16,0,0.999346405,0.999903786,NA,NA
1,tmean,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmean,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmean,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmean,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmean,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmean,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmean,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmean,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmean,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmean,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmean,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmean,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
MEAN,tmean,_psuitability,4.405721717,13.54147828,91,0,0.836150845,0.965473936,NA,NA,4.337908497,13.01803766,100,0,0.838235294,0.965435118,0.638514626,0.006273058
MODE,tmean,_psuitability,15.99869961,19.35351627,95,0,0.322496749,0.861991299,NA,NA,16.28202614,19.07564484,100,0,0.312091503,0.858630331,0.999758397,0.009921985
MAX,tmean,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
MIN,tmean,_psuitability,0,0,0,0,1,1,NA,NA,0.010457516,0.408981129,16,0,0.999346405,0.999903786,NA,NA
1,tmin,_psuitability,0,0,0,0,1,1,NA,NA,0.04379085,1.405650116,53,0,0.998366013,0.99966089,NA,NA
2,tmin,_psuitability,14.40182055,20.52605171,100,0,0.43953186,0.880216976,0.999852398,0.009836088,14.60588235,20.16657256,100,0,0.414705882,0.877423106,0.99985085,0.009863513
3,tmin,_psuitability,90.58647594,10.37314864,100,61,0,0.140027398,NA,NA,90.73333333,10.5504656,100,56,0,0.140409066,NA,NA
4,tmin,_psuitability,79.62808843,11.51898531,100,56,0,0.233993431,NA,NA,79.8127451,11.66119881,100,52,0,0.233123225,NA,NA
5,tmin,_psuitability,81.36150845,10.98575668,100,59,0,0.216315343,NA,NA,81.55392157,11.12163577,100,55,0,0.215385276,NA,NA
6,tmin,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
7,tmin,_psuitability,80.24187256,14.60936717,100,47,0,0.245670442,NA,NA,80.46699346,14.78796046,100,41,0,0.244979724,NA,NA
8,tmin,_psuitability,3.210663199,12.00270545,90,0,0.88686606,0.975297561,NA,NA,3.04379085,11.36390442,100,0,0.880065359,0.976196835,0.529172962,0.005168597
9,tmin,_psuitability,0.386215865,3.226738446,40,0,0.980494148,0.996659636,NA,NA,0.339215686,3.858899621,98,0,0.982679739,0.997354409,NA,NA
10,tmin,_psuitability,0.145643693,1.44142937,22,0,0.988296489,0.99864746,NA,NA,0.149673203,2.376016819,71,0,0.991830065,0.998785832,NA,NA
11,tmin,_psuitability,0.067620286,0.784355283,15,0,0.989596879,0.999354538,NA,NA,0.100653595,2.018466455,65,0,0.994117647,0.999197292,NA,NA
12,tmin,_psuitability,0.031209363,0.571970023,13,0,0.99479844,0.999704248,NA,NA,0.085947712,1.985267391,66,0,0.995098039,0.999337673,NA,NA
MEAN,tmin,_psuitability,4.405721717,13.54147828,91,0,0.836150845,0.965473936,NA,NA,4.337908497,13.01803766,100,0,0.838235294,0.965435118,0.638514626,0.006273058
MODE,tmin,_psuitability,15.99869961,19.35351627,95,0,0.322496749,0.861991299,NA,NA,16.28202614,19.07564484,100,0,0.312091503,0.858630331,0.999758397,0.009921985
MAX,tmin,_psuitability,98.34980494,3.475154087,100,82,0,0.038450143,NA,NA,98.30261438,3.683621591,100,78,0,0.040553362,NA,NA
MIN,tmin,_psuitability,0,0,0,0,1,1,NA,NA,0.010457516,0.408981129,16,0,0.999346405,0.999903786,NA,NA
1,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
2,tmax,_suitability,1.759427828,4.028300625,22,0,0.763328999,0.983230193,NA,NA,1.600653595,3.707691426,23,0,0.76503268,0.984691518,NA,NA
3,tmax,_suitability,54.46684005,37.80579149,100,0,0.314694408,0.591666114,0.999354625,0.009722432,52.79411765,37.94830664,100,0,0.329084967,0.605640049,0.999664399,0.009547603
4,tmax,_suitability,49.40052016,32.7993156,89,0,0.299089727,0.602885023,NA,NA,48.28496732,32.84213635,88,0,0.308823529,0.61259269,NA,NA
5,tmax,_suitability,51.6579974,34.22720222,92,0,0.299089727,0.592193142,NA,NA,50.59836601,34.32396372,94,0,0.308823529,0.601520649,NA,NA
6,tmax,_suitability,67.68920676,44.44681279,100,0,0.299089727,0.549266564,0.999110576,0.001201366,66.35620915,44.63987509,100,0,0.308823529,0.55892503,0.999506904,0.00108784
7,tmax,_suitability,49.91417425,33.89579496,99,0,0.300390117,0.604650379,NA,NA,48.35816993,34.01077385,100,0,0.31503268,0.618323001,0.999807398,0.00992248
8,tmax,_suitability,0.00130039,0.036060922,1,0,0.99869961,0.999987061,NA,NA,0.006535948,0.204452946,9,0,0.998366013,0.99993673,NA,NA
9,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
10,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
11,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
12,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
MEAN,tmax,_suitability,0.023407022,0.374267816,8,0,0.99479844,0.999772926,NA,NA,0.01503268,0.308593545,10,0,0.996732026,0.999854434,NA,NA
MODE,tmax,_suitability,4.248374512,7.367542174,43,0,0.618985696,0.960342849,NA,NA,4.25,7.299812811,45,0,0.62124183,0.960277687,NA,NA
MAX,tmax,_suitability,49.90637191,39.99240258,100,0,0.375812744,0.640834144,0.999852398,0.006644622,48.26797386,40.40925915,100,0,0.397385621,0.656397526,0.999999692,0.006775164
MIN,tmax,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
1,tmean,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
2,tmean,_suitability,9.717815345,14.39779741,63,0,0.539661899,0.914215504,NA,NA,10.28562092,14.83969443,66,0,0.50751634,0.909330214,NA,NA
3,tmean,_suitability,78.24447334,30.49244354,100,0,0.11443433,0.374417276,0.999793842,0.004915614,79.24836601,29.57942771,100,0,0.103594771,0.361287549,0.999910943,0.005248714
4,tmean,_suitability,68.94668401,26.49756313,100,0,0.097529259,0.40810737,0.999461997,0.008202998,70.40228758,25.34923629,100,0,0.089542484,0.389666314,0.99985085,0.008001953
5,tmean,_suitability,71.05331599,26.25726125,100,0,0.091027308,0.390699083,0.999725526,0.007882012,72.62810458,24.9420301,100,0,0.083333333,0.370286676,0.999791681,0.007463927
6,tmean,_suitability,84.97269181,32.59937584,100,0,0.11573472,0.358769752,0.97419934,0.004618429,86.86764706,30.28587448,100,0,0.096078431,0.330059561,0.965554571,0.005142574
7,tmean,_suitability,61.94148244,35.59370641,100,0,0.183355007,0.520933318,0.999901193,0.004839629,63.74444444,34.92677698,100,0,0.160784314,0.503383195,0.999999692,0.004477565
8,tmean,_suitability,0.973992198,4.829310446,46,0,0.937581274,0.991435431,NA,NA,1.131372549,5.256518494,62,0,0.92254902,0.990082191,NA,NA
9,tmean,_suitability,0,0,0,0,1,1,NA,NA,0.003594771,0.147951532,8,0,0.99869281,0.999965146,NA,NA
10,tmean,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
11,tmean,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
12,tmean,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
MEAN,tmean,_suitability,1.789336801,6.536941555,49,0,0.88816645,0.984276912,NA,NA,2.010784314,6.89624797,58,0,0.885620915,0.982315076,NA,NA
MODE,tmean,_suitability,11.82444733,15.24732304,68,0,0.433029909,0.894824376,NA,NA,12.81568627,15.85577824,74,0,0.409477124,0.886139273,NA,NA
MAX,tmean,_suitability,84.19895969,32.7951851,100,0,0.117035111,0.36384041,0.993127655,0.00477121,85.04542484,31.96716343,100,0,0.114379085,0.35287461,0.989197325,0.004810226
MIN,tmean,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
1,tmin,_suitability,0,0,0,0,1,1,NA,NA,0.00130719,0.072310153,4,0,0.999673203,0.999987189,NA,NA
2,tmin,_suitability,11.32639792,20.31891162,100,0,0.656697009,0.909688353,0.927944425,0.009109744,11.2620915,19.6884678,100,0,0.641503268,0.908951346,0.941428285,0.009430011
3,tmin,_suitability,38.62158648,46.13297246,100,0,0.539661899,0.767645311,0.995456318,0.000949904,40.19673203,46.57071508,100,0,0.526470588,0.757928334,0.997977285,0.000824795
4,tmin,_suitability,35.39401821,42.58125829,100,0,0.530559168,0.773610924,0.997303762,0.005630446,36.66797386,42.75001902,100,0,0.513071895,0.764062328,0.999506904,0.005539127
5,tmin,_suitability,34.94668401,43.03327828,100,0,0.538361508,0.779832598,0.995749669,0.005233908,36.19542484,43.22642037,100,0,0.524836601,0.770644964,0.998219395,0.004969969
6,tmin,_suitability,30.27048114,44.20412729,100,0,0.651495449,0.825449556,0.932725397,0.001190508,31.21045752,44.38173756,100,0,0.634640523,0.818602228,0.94704222,0.001203178
7,tmin,_suitability,24.26657997,39.84407028,100,0,0.694408322,0.855630552,0.888019099,0.002659104,25.15130719,40.40850147,100,0,0.683333333,0.850566881,0.90071968,0.002864321
8,tmin,_suitability,2.850455137,11.12276443,90,0,0.894668401,0.977833783,NA,NA,2.561437908,9.983796118,100,0,0.888888889,0.979485426,0.503258335,0.005004052
9,tmin,_suitability,0.305591678,2.894675868,40,0,0.984395319,0.99736369,NA,NA,0.17254902,2.248597988,56,0,0.986928105,0.998527642,NA,NA
10,tmin,_suitability,0.11443433,1.307993145,22,0,0.990897269,0.998941182,NA,NA,0.055228758,1.117729324,35,0,0.995424837,0.999510191,NA,NA
11,tmin,_suitability,0.054616385,0.742765553,15,0,0.992197659,0.9994814,NA,NA,0.032352941,0.855304212,29,0,0.997712418,0.999713047,NA,NA
12,tmin,_suitability,0.028608583,0.56982569,13,0,0.99739922,0.999730133,NA,NA,0.010457516,0.376519634,16,0,0.999019608,0.999902512,NA,NA
MEAN,tmin,_suitability,4.006501951,12.72981283,91,0,0.842652796,0.968327893,NA,NA,3.790849673,11.69907281,100,0,0.847712418,0.969176154,0.615535495,0.006174546
MODE,tmin,_suitability,10.60988296,19.49281935,95,0,0.66840052,0.914880808,NA,NA,10.69575163,19.02980014,100,0,0.651633987,0.91308618,0.932600295,0.00937722
MAX,tmin,_suitability,38.82574772,45.66309269,100,0,0.531859558,0.763196941,0.997069253,0.00101027,40.50947712,45.95489611,100,0,0.505882353,0.751683753,0.999900157,0.000898609
MIN,tmin,_suitability,0,0,0,0,1,1,NA,NA,0,0,0,0,1,1,NA,NA
1,tmax,_tsuitability,54.87906372,42.26817522,100,0,0.357607282,0.618075582,0.99999878,0.004326884,52.51666667,43.03335847,100,0,0.387581699,0.640775444,0.999988907,0.004091587
2,tmax,_tsuitability,57.67360208,42.04407834,100,0,0.33159948,0.596400015,0.99999878,0.004119657,55.35490196,42.52046246,100,0,0.355228758,0.61648874,1,0.004032618
3,tmax,_tsuitability,63.48764629,43.98982086,100,0,0.314694408,0.571466528,0.999793842,0.001022986,61.67712418,44.27008181,100,0,0.329084967,0.585477795,0.999969185,0.000868489
4,tmax,_tsuitability,67.26918075,44.53786544,100,0,0.299089727,0.552480634,0.998505218,0.001195251,65.81470588,44.71679047,100,0,0.308823529,0.562811889,0.999988907,0.001092709
5,tmax,_tsuitability,68.32249675,44.98419892,100,0,0.299089727,0.549946445,0.988963049,0.001098866,66.9748366,45.22351255,100,0,0.308823529,0.559924919,0.99462412,0.001038519
6,tmax,_tsuitability,69.33940182,45.43969814,100,0,0.299089727,0.547919104,0.946041381,0.000665314,68.05261438,45.68998297,100,0,0.308823529,0.557452041,0.96861035,0.000775753
7,tmax,_tsuitability,68.45903771,45.2226402,100,0,0.300390117,0.551113426,0.979604867,0.000988259,66.49281046,45.60717055,100,0,0.31503268,0.565868007,0.989881029,0.000919024
8,tmax,_tsuitability,66.43302991,45.80490787,100,0,0.318595579,0.567635687,0.992755618,0.000908161,64.23627451,46.22898849,100,0,0.336601307,0.584419801,0.99899859,0.000782519
9,tmax,_tsuitability,65.43172952,46.37110644,100,0,0.3289987,0.578139138,0.978964418,0.000657216,62.82418301,46.92680135,100,0,0.35130719,0.598618944,0.991594288,0.000569336
10,tmax,_tsuitability,57.79713914,44.1361582,100,0,0.357607282,0.610454647,0.99999878,0.002148911,55.2127451,44.8787131,100,0,0.387581699,0.633982562,0.999988907,0.002105496
11,tmax,_tsuitability,55.24057217,43.01886841,100,0,0.364109233,0.620614444,0.999989022,0.00344931,52.97026144,43.76668614,100,0,0.393137255,0.642393426,0.999962714,0.003361393
12,tmax,_tsuitability,53.82054616,42.98096774,100,0,0.375812744,0.6306745,0.99999878,0.003952511,52.0869281,43.47145651,100,0,0.397385621,0.646901261,0.999969185,0.003769879
MEAN,tmax,_tsuitability,63.15994798,44.49179651,100,0,0.322496749,0.577419712,0.999989022,0.000938516,60.66143791,45.04842206,100,0,0.346078431,0.598015017,0.999910943,0.00070095
MODE,tmax,_tsuitability,68.3420026,45.2737198,100,0,0.299089727,0.552202235,0.949132168,0.000696534,66.94738562,45.52989214,100,0,0.308823529,0.562562792,0.968411148,0.000773741
MAX,tmax,_tsuitability,51.36540962,41.2662266,100,0,0.375812744,0.637652758,0.99999878,0.005318032,49.79607843,41.80876447,100,0,0.397385621,0.653286713,0.999969185,0.005027192
MIN,tmax,_tsuitability,63.98309493,45.59443583,100,0,0.299089727,0.580806914,0.991580343,0.001125303,61.91699346,46.27374563,100,0,0.32124183,0.599239114,0.995849557,0.000910331
1,tmean,_tsuitability,82.43953186,36.92573202,100,0,0.159947984,0.408669381,0.77144843,0.001386498,83.16535948,36.22615358,100,0,0.150653595,0.399413377,0.758852539,0.001488677
2,tmean,_tsuitability,84.73211964,34.66421547,100,0,0.133940182,0.378570132,0.730172925,0.001636636,85.59215686,33.69221598,100,0,0.125490196,0.366385097,0.721928095,0.001787768
3,tmean,_tsuitability,86.91417425,32.22391418,100,0,0.11443433,0.347601666,0.717221917,0.002061352,87.87287582,31.0152371,100,0,0.103594771,0.332971127,0.69982785,0.002217572
4,tmean,_tsuitability,87.68530559,31.34593283,100,0,0.097529259,0.336591961,0.676020766,0.002170773,89.15980392,29.51280802,100,0,0.089542484,0.314361423,0.659793712,0.002271241
5,tmean,_tsuitability,88.32249675,30.52551914,100,0,0.091027308,0.326643489,0.664413099,0.002267914,89.87941176,28.57259357,100,0,0.083333333,0.303076329,0.640836441,0.002293127
6,tmean,_tsuitability,86.37581274,32.82502519,100,0,0.11573472,0.355204112,0.698442125,0.001833002,88.33104575,30.40922617,100,0,0.096078431,0.325665984,0.671568015,0.002173012
7,tmean,_tsuitability,75.27958388,39.82757252,100,0,0.183355007,0.468537275,0.938459984,0.002536345,76.99869281,38.62401218,100,0,0.160784314,0.449487144,0.913988755,0.002806123
8,tmean,_tsuitability,69.76072822,40.91944535,100,0,0.195058518,0.508589932,0.988011406,0.002788657,71.27254902,40.66144312,100,0,0.186928105,0.497803082,0.982027605,0.00289926
9,tmean,_tsuitability,77.63849155,39.05350731,100,0,0.174252276,0.449803309,0.886473451,0.002213466,78.22287582,38.40076174,100,0,0.164379085,0.441404547,0.880490482,0.002381888
10,tmean,_tsuitability,67.16905072,39.85618717,100,0,0.183355007,0.51617063,0.999940229,0.003157358,68.30065359,39.68707855,100,0,0.174509804,0.507877745,0.999998767,0.003354351
11,tmean,_tsuitability,70.85045514,39.23327341,100,0,0.172951886,0.488563617,0.997303762,0.003362532,72.01013072,38.91957276,100,0,0.165359477,0.479340267,0.993147915,0.003496662
12,tmean,_tsuitability,79.60858257,38.16649353,100,0,0.167750325,0.432503974,0.849501289,0.001989584,80.28823529,37.48405688,100,0,0.158496732,0.423455903,0.846483655,0.002179622
MEAN,tmean,_tsuitability,78.55786736,38.65084213,100,0,0.170351105,0.441781622,0.872040628,0.002156902,79.02843137,38.13480899,100,0,0.163071895,0.435154582,0.868552328,0.002292366
MODE,tmean,_tsuitability,81.37581274,35.8623742,100,0,0.136540962,0.403893277,0.842154201,0.002697439,83.2503268,33.8475818,100,0,0.11503268,0.37760243,0.833282834,0.003215868
MAX,tmean,_tsuitability,85.78413524,33.28272525,100,0,0.117035111,0.361716756,0.730172925,0.002115101,86.69052288,32.42924717,100,0,0.114379085,0.350493163,0.712682851,0.002017151
MIN,tmean,_tsuitability,63.26788036,43.59691695,100,0,0.250975293,0.569865611,0.999354625,0.001884185,66.10457516,42.91317453,100,0,0.232352941,0.546794163,0.99351142,0.002135565
1,tmin,_tsuitability,22.05851756,38.0081263,100,0,0.704811443,0.86704174,0.875329662,0.002726263,22.79542484,38.38973561,100,0,0.695424837,0.862196996,0.886811849,0.002872536
2,tmin,_tsuitability,29.50975293,43.55630003,100,0,0.652795839,0.828466002,0.931546319,0.001525073,30.38071895,43.80266256,100,0,0.636928105,0.822489545,0.945203585,0.001405518
3,tmin,_tsuitability,38.77893368,46.22285829,100,0,0.539661899,0.7669285,0.995456318,0.00087872,40.3748366,46.64637846,100,0,0.526470588,0.756989674,0.997977285,0.000721395
4,tmin,_tsuitability,38.8153446,45.92699396,100,0,0.530559168,0.764859983,0.997303762,0.000911392,40.27156863,46.13260067,100,0,0.513071895,0.754652692,0.999506904,0.000810442
5,tmin,_tsuitability,37.73602081,45.82120217,100,0,0.538361508,0.772894262,0.995749669,0.001011861,39.13888889,46.04577924,100,0,0.524836601,0.763124875,0.998219395,0.000888557
6,tmin,_tsuitability,30.27048114,44.20412729,100,0,0.651495449,0.825449556,0.932725397,0.001190508,31.21045752,44.38173756,100,0,0.634640523,0.818602228,0.94704222,0.001203178
7,tmin,_tsuitability,24.75812744,40.33468401,100,0,0.694408322,0.853587168,0.888019099,0.002055231,25.72026144,41.00211902,100,0,0.683333333,0.848416403,0.90071968,0.002036145
8,tmin,_tsuitability,17.68270481,34.6540676,100,0,0.733420026,0.893055421,0.836514192,0.003266325,18.46862745,35.00960494,100,0,0.729084967,0.887278795,0.842774588,0.003321469
9,tmin,_tsuitability,16.56176853,34.30905257,100,0,0.764629389,0.902081973,0.787256635,0.002768774,17.33986928,34.57996468,100,0,0.749673203,0.895995558,0.811795675,0.003008551
10,tmin,_tsuitability,12.01950585,29.36579438,100,0,0.811443433,0.92745867,0.698442125,0.003253283,12.05424837,28.97416303,100,0,0.803921569,0.925941845,0.71401528,0.00365557
11,tmin,_tsuitability,12.64369311,29.87548753,100,0,0.804941482,0.923174331,0.711934353,0.003152953,12.88039216,29.77402208,100,0,0.789869281,0.920653505,0.74173253,0.003700683
12,tmin,_tsuitability,24.08712614,40.3035223,100,0,0.711313394,0.85936174,0.8670186,0.00178649,24.96699346,41.06014878,100,0,0.704248366,0.855297429,0.876035563,0.001711084
MEAN,tmin,_tsuitability,23.39401821,39.1681008,100,0,0.699609883,0.860268655,0.881767253,0.002345943,24.28823529,39.76460557,100,0,0.688235294,0.855159543,0.895200017,0.002370327
MODE,tmin,_tsuitability,26.02340702,40.4717555,100,0,0.66319896,0.843111458,0.921724574,0.002481857,26.99869281,41.01199401,100,0,0.65,0.837294741,0.934068055,0.002520996
MAX,tmin,_tsuitability,38.82704811,45.66251308,100,0,0.531859558,0.763183054,0.997069253,0.00101027,40.51078431,45.95461839,100,0,0.505882353,0.75167171,0.999900157,0.000898609
MIN,tmin,_tsuitability,13.85825748,31.56593525,100,0,0.799739922,0.917361017,0.722447946,0.002897882,14.07222222,31.58657959,100,0,0.786601307,0.915476322,0.747929189,0.003194719
