rcp,model,xRes,yRes,nCols,nRows,xMin,xMax,yMin,yMax
historical,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
historical,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
historical,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
historical,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
historical,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
historical,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
historical,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_bgc,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_fastchem,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_fastchem,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
historical,cesm1_waccm,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
historical,cesm1_waccm,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
historical,cmcc_cesm,3.75,3.708897641,96,48,-181.875,178.125,-89.01354338,89.01354338
historical,cmcc_cesm,3.75,3.708897641,96,48,-181.875,178.125,-89.01354338,89.01354338
historical,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,ec_earth,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,ec_earth,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
historical,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
historical,fgoals_s2,2.8125,1.658506304,128,108,-181.40625,178.59375,-89.55934043,89.55934043
historical,fgoals_s2,2.8125,1.658506304,128,108,-181.40625,178.59375,-89.55934043,89.55934043
historical,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
historical,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
historical,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
historical,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
historical,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
historical,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
historical,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
historical,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
historical,giss_e2_h,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_h,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_h_cc,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_h_cc,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r_cc,2.5,2,144,90,-180,180,-90,90
historical,giss_e2_r_cc,2.5,2,144,90,-180,180,-90,90
historical,hadcm3,3.75,2.5,96,73,-181.875,178.125,-91.25,91.25
historical,hadcm3,3.75,2.5,96,73,-181.875,178.125,-91.25,91.25
historical,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_cc,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_cc,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
historical,inmcm4,2,1.5,180,120,-181,179,-90,90
historical,inmcm4,2,1.5,180,120,-181,179,-90,90
historical,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
historical,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
historical,ipsl_cm5b_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,ipsl_cm5b_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
historical,miroc4h,0.5625,0.56156796,640,320,-180.28125,179.71875,-89.85087353,89.85087353
historical,miroc4h,0.5625,0.56156796,640,320,-180.28125,179.71875,-89.85087353,89.85087353
historical,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
historical,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
historical,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
historical,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_p,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mpi_esm_p,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
historical,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
historical,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
historical,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bcc_csm1_1_m,1.125,1.121276974,320,160,-180.5625,179.4375,-89.70215791,89.70215791
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,bnu_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,canesm2,2.8125,2.789327027,128,64,-181.40625,178.59375,-89.25846486,89.25846486
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,ccsm4,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cesm1_cam5,1.25,0.942408377,288,192,-180.625,179.375,-90.47120419,90.47120419
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,cnrm_cm5,1.40625,1.400436762,256,128,-180.703125,179.296875,-89.62795276,89.62795276
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,csiro_mk3_6_0,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fgoals_g2,2.8125,3.050847458,128,60,-181.40625,178.59375,-91.52542373,91.52542373
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,fio_esm,2.8125,2.789326986,128,64,-181.40625,178.59375,-89.25846354,89.25846354
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_cm3,2.5,2,144,90,-180,180,-90,90
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2g,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,gfdl_esm2m,2.5,2.011109708,144,90,-180,180,-90.49993688,90.49993688
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_h,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,giss_e2_r,2.5,2,144,90,-180,180,-90,90
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_ao,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,hadgem2_es,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_lr,3.75,1.894736842,96,96,-181.875,178.125,-90.94736842,90.94736842
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,ipsl_cm5a_mr,2.5,1.267605634,144,143,-181.25,178.75,-90.63380282,90.63380282
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc5,1.40625,1.400436777,256,128,-180.703125,179.296875,-89.62795374,89.62795374
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,miroc_esm_chem,2.8125,2.789326947,128,64,-181.40625,178.59375,-89.25846231,89.25846231
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_lr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mpi_esm_mr,1.875,1.864677188,192,96,-180.9375,179.0625,-89.50450504,89.50450504
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,mri_cgcm3,1.125,1.121276981,320,160,-180.5625,179.4375,-89.70215849,89.70215849
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp26,noresm1_m,2.5,1.894736842,144,96,-181.25,178.75,-90.94736842,90.94736842
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_0,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
rcp45,access1_3,1.875,1.25,192,145,-180.9375,179.0625,-90.625,90.625
