Idrow,Idacc,x,y,P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19
1,20,-75,7.666666667,279.5,100.8125,85.6875,416.1875,224.625,116.875,276.0625,283.75,285.0625,274.4375,3819.6875,499.875,74.875,48.8125,1413.625,281.8125,514.25,1318.625
2,36,-74.33333333,7.666666667,243.875,96.3125,85.125,400.3125,188.5625,112.5,240.5625,245.875,249,238.5,2950.5,407,60.5625,46.1875,1066.6875,241.25,598.3125,904.6875
3,32,-75,7,232.25,97.5625,83.5625,466.8125,172.375,116.1875,229.4375,231.9375,238,225.8125,3468.375,446.8125,84.75,43.25,1217.25,328.6875,850.1875,906.1875
4,13,-74.33333333,6.333333333,274.6875,98.8125,89.125,278.25,220.125,110.25,271.375,275.625,277.125,270.4375,2632,363.625,63.9375,41.0625,918,305.0625,495.375,881
5,13,-73.66666667,5.666666667,142.375,98.6875,81.75,360.1875,81.9375,119.8125,142.9375,140.6875,146.625,137.6875,1495.875,219.25,50.75,43.9375,520.625,202.6875,465.875,283.3125
6,5,-73,7,152.5625,91.0625,82,312.75,94.25,111.5625,151.875,150.375,155.8125,148.1875,1292.75,175.625,42,40,451.3125,161.3125,350.875,238.9375
7,1,-72.33333333,7,170.875,99.1875,81.375,336.25,108.375,121.3125,169.5,168.1875,174.6875,166.625,2486.9375,385.4375,53.375,51.5625,1023.0625,207.375,547,814.0625
8,38,-71.66666667,7,256.75,109.75,82.25,448.75,193.125,132.5625,251.75,259.1875,261.875,250.5,2642.9375,400.625,38.5625,55.375,1071.75,165.75,385.6875,1032
9,30,-72.33333333,8.333333333,265.8125,107.75,83.125,522.9375,200.3125,129,264.625,262.875,270.1875,257.4375,2094.3125,276.625,95.9375,34.875,737,323.3125,547.875,420.1875
10,20,-73,8.333333333,232.1875,105.375,81.3125,554.875,165.375,128.875,233.0625,227,236.9375,223.375,2136.0625,312.125,68.5625,45.6875,819.25,255.6875,543.625,314.3125
11,13,-71,7.666666667,268.9375,101.5625,77.625,398.875,205,130.25,265.875,268.1875,273.4375,264.5,1706.1875,271.625,10.8125,63.3125,752.6875,69.0625,291.4375,513
12,39,-71,7,266.5625,98.125,76.6875,591.4375,207.875,127.1875,258.9375,269,273.75,258.3125,1861.875,314.75,10.875,66.375,837.4375,65.5,222.25,826.0625
13,29,-71.66666667,5.666666667,266.4375,97.75,76.5,834,211.0625,127.0625,255.625,272.625,277,255.25,2250.625,352.6875,16.3125,61.6875,950.5,95.5625,200.625,946.75
14,22,-71,5,268.4375,93.625,72.5,935.25,214.875,128.375,257.4375,275.5,280.4375,256,2074.5625,293.6875,17.1875,57.875,817,80.5625,139.875,811
15,24,-62.33333333,3.666666667,256.5,108.625,88.625,396.0625,196.1875,122.1875,251.5,257.875,259.375,250.125,2149.25,340.9375,75.75,45.875,900.5,313.125,388.3125,796.25
16,37,-59,5,262.625,84.6875,79.4375,580.9375,210.625,105.9375,262.4375,269.5625,269.6875,254.625,2713.625,419,86.5625,43.75,1110.5625,331.875,363.5625,579.25
17,9,-62.33333333,5.666666667,220.25,102.4375,85.125,394.0625,160.875,119.5625,217.75,217.75,224.1875,215.25,2708.1875,439.4375,50.625,60.25,1248.3125,173.1875,571.625,329.625
18,5,-58.33333333,3,266.0625,93.0625,78.0625,640.25,213.6875,118.3125,260.25,275,275.75,260.1875,1771.25,349.5625,35.5625,67.75,904.75,156.8125,158.625,756.625
19,6,-55.66666667,2.333333333,250.5,97.875,79.4375,611.375,198.875,122.375,246.4375,258.8125,258.8125,243.5625,1879.8125,380.125,39.625,61,855.25,149.375,163.25,456.3125
20,12,-56.33333333,3.666666667,260.5625,89.4375,75.6875,732.125,210.75,117.5,256.125,271.0625,271.0625,252.5,2561.1875,417.25,40.0625,53,1088.1875,185.4375,185.4375,668.5625
21,6,-61,3.666666667,270.375,103.25,87.6875,501.625,212.4375,117.0625,264.0625,271.75,274.25,262.1875,1379.9375,275.8125,18.5625,78.4375,758.25,83.6875,188.75,723.375
22,8,-61.66666667,1.666666667,268.625,100.9375,86.8125,467.125,210.75,115.5625,262.0625,270.9375,272.8125,261.3125,1810.25,321,52.9375,62.8125,883,177.25,231.125,803.4375
23,9,-64.33333333,1,264.5625,100.875,90.5,349.75,209.4375,110.6875,259.1875,266.6875,267.3125,259.1875,2430.9375,350.9375,107.5,36.6875,948.5,358.4375,456.9375,924.6875
24,36,-68.33333333,1.666666667,260.875,106.5625,88.1875,450.8125,204,120.125,256,263.375,265.1875,254.3125,3548.5625,424.3125,193.6875,26,1205.6875,632.5625,666.875,1126.3125
25,18,-85,12.33333333,244.625,91.25,72.6875,826.875,182.75,124.8125,246.75,244.5625,253.6875,232.1875,2189.75,347.375,24.0625,60.5625,952.25,98.125,454.875,326.6875
26,24,-85,11.66666667,257.3125,91.875,73.1875,756,197.8125,124.75,256.5625,261.3125,267.3125,247.3125,1944.5,333.0625,15.9375,72,904.9375,66.4375,225.375,275.125
27,27,-85.66666667,11.66666667,267.6875,99,72.625,778.5,204,135.375,264.4375,272.125,279,258.4375,1488.625,314.1875,4.625,87.625,791,20.625,155.9375,168.3125
28,32,-85.66666667,12.33333333,249.3125,98.9375,72.8125,814.9375,183.5625,135.0625,249.8125,250.5625,259.4375,238.25,1380.125,265.4375,9.9375,78.3125,683,43.375,290.9375,134.125
29,35,-85,13,246.3125,93.875,71.1875,915.625,181.5,130.875,249.4375,244.5625,255.4375,232.3125,2719.0625,435.375,45,59.75,1225.1875,159.1875,628.6875,368.0625
30,4,-83.66666667,12.33333333,255.6666718,74.1111145,70.77777863,822.444458,203.3333282,103.8888855,259.555542,253.8888855,263.6666565,242.777771,3503.222168,571,60.44444275,55.66666794,1565.666626,238.6666718,866.111084,558.888916
31,16,-88.33333333,15,233.125,115.9375,68.375,1500.5625,152.6875,168.75,241.875,231.5625,249.5625,211.375,1756.8125,290,35,61.3125,761.875,134.125,452.4375,211.9375
32,16,-89.66666667,15.66666667,239.3125,84.75,66.25,1409.3125,174.5,127.125,250.9375,236.875,253.625,218.4375,2942.625,498.375,80.75,56.8125,1292,256.5625,754.25,379.5
33,25,-91,16.33333333,249.4375,110.6875,67.625,1534.9375,168.4375,162.5625,257.3125,248.8125,266.5625,226.75,2639.5,453.75,50.3125,66.1875,1207.75,179.875,593.125,291.4375
34,10,-95,17,244,104.875,61.5,1845.6875,161.9375,169.25,254.0625,243.375,265.5625,218.125,2197.1875,436.8125,37.6875,80.1875,1184.5,137.3125,411,224.625
35,39,-98.33333333,18.33333333,230.5,170.9375,69.375,1994.875,104.125,245,242,206.9375,254,202.4375,787.875,178.375,2.9375,99.375,443.5625,13.4375,266.375,21.875
36,11,-100.3333333,21.66666667,194.8125,162.4375,63.4375,2818.75,64.25,253.8125,216,162.0625,224.4375,155.375,577.4375,118.75,9.3125,84.125,304.1875,33.625,190.3125,36.125
37,1,-103,25,203.5625,163.3125,59.25,3977.875,58.875,274.4375,240.3125,186.125,247.9375,148.375,268.4375,57.875,4.125,81.125,155.3125,16.1875,128.125,26.125
38,30,-103,22.33333333,169.3125,174,63.625,2946.875,27.5625,271.125,193.125,156.9375,202.875,128.0625,537.125,128.5,4.625,95.875,333.9375,19.9375,220.625,50.9375
39,21,-101,21,173.9375,155.5,64.0625,2380.875,50.3125,241,194,158.3125,200.5,140.3125,617.375,133.875,7.25,91.1875,363.0625,30.8125,189.6875,34
